ID,Title,Content,Source,PublishedAt
11,"Кацусика Хокусай: художник укиё-э, покоривший мир утончёнными и смелыми композициями","Послесловие к иллюстрированной книге «Сто видов горы Фудзи», опубликованной, когда Кацусике Хокусаю (1760-1849) было 75 лет, известно тем, что раскрывает его дух как художника. У меня с шести лет появилась привычка копировать формы вещей, к пятидесяти годам я выпустил в мир множество картин, но то, что я рисовал до семидесяти лет, ничего не стоит. К семидесяти трём годам я уже немного разбираюсь в скелетах птиц, животных, насекомых, рыб и жизни растений. Так что к 86 годам я научусь лучше рисовать, к 90 годам овладею секретами искусства, к 100 годам достигну уровня божественного мастерства, а к 110 годам каждая точка и линия будут казаться живыми. Как показывает эта цитата, он никогда не довольствовался тем состоянием, в котором пребывал на данный момент, и всегда искал новое, стремясь достичь ещё больших высот в живописи. Ученик популярного художника укиё-э Карьера Хокусая как художника укиё-э началась в 8 году Анъэй (1779), когда ему было около 20 лет. Он стал учеником Кацукавы Сюнсё, прославившегося своими портретами актёров театра Кабуки, и под псевдонимом «Сюнро» работал в основном в жанре портретов актёров. Многие из его картин с изображением актёров сохранились до наших дней, в том числе работа 3-го года Кансэй (1791), изображающая Итикаву Эбидзо и Сакату Хангоро на сцене, которая свидетельствует о его высоком уровне мастерства в изображении портретов. Судя по всему, начало его карьеры как художника укиё-э было вполне успешным. «Итикава Эбидзо в роли бандита, который на самом деле – святой Монгаку» (слева) и «Саката Хангоро III в роли странствующего монаха, который на самом деле – Тиндзэй Хатиро Тамэтомо». Работы периода, когда Хокусай пользовался псевдонимом «Сюнро» (справа: Токийский национальный музей, источник: ColBase, слева: музей Метрополитен) Начало работы в жанре, который Хокусай довёл до совершенства После смерти его учителя Сюнсё в 4 году Кансэй (1792) его положение в школе Кацукава, вероятно, пошатнулось. Согласно довольно убедительной теории, это произошло из-за разногласий между ним и Сюнко, первым учеником Сюнсё, и в 6 году Кансэй (1794) он принял имя «Таварая Сори» как художник другой школы. Обычной деятельностью художников укиё-э было рисование широко продававшихся многоцветных гравюр нисики-э, «парчовых картин», но Хокусай энергично создавал календари и описания событий, которые люди раздавали знакомым в начале года. Эти не выпускавшиеся в продажу единичные гравюры назывались суримоно, они тоже были ксилографическими, но в них использовались более мягкие и нежные цвета, чем в нисики-э, и работы Хокусая хорошо соответствовали спросу на такие гравюры. Примерно тогда же, когда он начал использовать псевдоним «Сори», он также стал иллюстрировать книги с «безумными стихами» кёка. В это время выпускались кёка эхон, иллюстрированные сборники кёка, для которых была характерна тонкость и изящество исполнения. Хокусай стал ведущим художником в этих двух жанрах, и они с конца XVIII века вышли на высокий уровень художественного совершенства. «Прогулка за городом» (Дэнъэн кораку) из иллюстрированного сборника кёка «Отоко тока» (Токийский национальный музей, источник: ColBase) Портреты красавиц очаровывают жителей Эдо В 10 году Кансэй (1798) он передал художественное имя «Сори» своему ученику и начал использовать имя «Хокусай» в качестве своего основного творческого имени. В течение примерно 10 лет с момента окончания периода его творчества под псевдонимом Сори и до смены имени на Хокусай, он разработал стиль бидзинга, «изображений красавиц», представляющий стройных, высоких, гибких и грациозных женщин, и этот стиль принёс ему огромную популярность. В юмористической книге «Изящные слова об искусстве» (Тайто кэйго), опубликованной в 12 году Кансэй (1800), когда ещё работал Китагава Утамаро, признанный мастер бидзинга, Хокусая уже восхваляют как искусного художника этого жанра и ставят в один ряд с популярным писателем того времени Санто Кёдэном. «Изображения красавиц» Хокусая этого периода сейчас называют сорифу бидзин, «красавицы в стиле Сори», а написанные в этом стиле картины кистью в наши дни высоко ценят. «Две красавицы» (Музей искусств MOA) Высокая оценка от сурового писателя В то время были популярны «книги для чтения» ёмихон, которые писали в том числе такие известные авторы, как Кёкутэй Бакин. Ёмихон – разновидность романа, литературный жанр характеризующийся ярко выраженным повествовательным характером, однако немалую роль в увеличении продаж играли и иллюстрации. Хокусай стал выдающимся иллюстратором этого жанра, используя плотные композиции, гармонирующие с «жёстким» текстом, в котором используются китайские иероглифы. Его манера рисования отличалась динамичным характером, напоминая современные комиксы типа гэкига, он также умело применял изображение тьмы для создания страшных сцен. Бакин был известен тем, что не стеснялся в выражениях по отношению к другим, но и он высоко оценивал живописное мастерство Хокусая, хотя и упоминал присущий ему дух противоречия, проявлявшийся в нежелании послушно следовать инструкциям автора текста. Их совместная работа, многотомный роман «Диковинные рассказы о молодом месяце» (Тинсэцу юмихаридзуки) (1807–1811), является одним из шедевров жанра. Иллюстрация из первой части многотомного издания «Диковинные рассказы о молодом месяце» (Тинсэцу юмихаридзуки) (электронная коллекция Национальной парламентской библиотеки) Освоение приёмов западной живописи Примерно тогда же, когда Хокусай активно иллюстрировал «книги для чтения», он начал также осваивать новые приёмы, пытаясь создавать «гравюры в западном стиле», ксилографически воспроизводящие текстуру и плотность западных гравюр на меди и масляных картин. Испытывая большой интерес к передовым техникам, которые в то время пытались использовать такие художники, как Сиба Кокан и Аодо Дэндзэн, он создал несколько серий гравюр, изображающих пейзажи Эдо и других частей Японии в стиле, который отличался от традиционных гравюр нисики-э, применяя тени и штриховку в стиле медной гравюры и цвета в стиле масляной живописи. Его новаторский стиль, который даже включал горизонтально написанную подпись хираганой, имитирующую западные буквы, хоть и не имел особого коммерческого результата, оказал значительное влияние на пейзажные работы других художников укиё-э того же периода, включая его собственных учеников. При этом такие попытки стали отправной точкой для новой пейзажной гравюры, такой как серия «Тридцать шесть видов горы Фудзи». Ксилография в западном стиле «Двенадцать святилищ Ёцуя» (Ёцуя дзюнисо, Токийский национальный музей, источник: ColBase) Творческая многогранность, которая потрясла западных художников В 12 году Бунка (1815) Хокусай передал имя «Хокусай» своему ученику, а сам взял имя «Тайто». Годом ранее был опубликован первый том «Манги Хокусая», которая сегодня обрела мировую известность. Он содержит наброски самых разных вещей, включая людей, животных, насекомых, рыб и цветы, и был составлен как коллекция примеров для тех, кто учится рисовать. Поскольку Хокусай уже зарекомендовал себя как мастер живописи, книга пользовалась большим спросом, и продолжения публиковались одно за другим. Последний 15-й том был опубликован в 11 году Мэйдзи (1878), примерно через 30 лет после смерти Хокусая. По содержанию некоторые из этих книг больше похожи на сборники утончённых карикатур, чем на руководство по рисованию. Фигуры людей, формы птиц, рыб, насекомых и т. д. ярко отражают своеобразную индивидуальность Хокусая, а оригинальность этих форм очаровывала не только японских, но и западных художников. «Манга Хокусая» (Хокусай манга), первое издание (коллекция музея Метрополитен) Обращение к пейзажной живописи после достижения 70-летнего возраста Около 1 года Тэмпо (1830) Хокусай создал серию пейзажей «Тридцать шесть видов горы Фудзи», в которую вошла и «Большая волна в Канагаве», до сих пор очаровывающая художников по всему миру. Эта серия, изображающая виды горы Фудзи, занимавшей особое место в сердцах жителей Эдо, с разных точек, при разных погодных условиях и в разных композициях, стала бестселлером благодаря ярким цветам и широкому использованию импортного синтетического пигмента «берлинская лазурь», который в то время становился всё более популярным. До этого времени пейзажная живопись была второстепенным жанром в нисики-э по сравнению с портретами актёров и красавиц, и создание серии пейзажей, охватывающей несколько десятков картин, вероятно, было сопряжено с большим риском. Удивительно, что Хокусай (десять лет назад сменивший творческий псевдоним на «Иицу») в 70-летнем возрасте смело решился освоить новый жанр – чувствуется, что художник не собирался почивать на лаврах. Гравюра «Большая волна в Канагаве» (Канагава-оки нами ура) из серии «Тридцать шесть видов горы Фудзи» (коллекция музея Метрополитен) Сам Хокусай, воодушевлённый успехом «Тридцати шести видов горы Фудзи», создал серию пейзажных картин на тему водопадов, таких как «Путешествие по водопадам в разных землях» (Сёкоку таки мэгури) и «Удивительный обзор знаменитых мостов в разных землях» (Сёкоку мэйкё киран). Этим жанром стали заниматься и художники школы Утагава, такие как Утагава Куниёси и Утагава Хиросигэ. Успех «Тридцати шести видов горы Фудзи» сыграл решающую роль в становлении жанра пейзажной живописи нисики-э. Гравюра «Водопад Кирифури на горе Курокамияма в земле Симоцукэ» (Симоцукэ курокамияма кирифури-но таки) из серии «Путешествие по водопадам в разных землях» (Сёкоку таки мэгури; коллекция Кларенса Бэкингема, Чикагский институт искусств) Занятия творчеством до 90-летнего возраста В 1830-х годах Хокусай создал серию гравюр нисики-э с изображением цветов и птиц, которые также сыграли важную роль в становлении этого жанра. В 5 году Тэмпо (1834) Хокусай вновь изменил творческий псевдоним и начал пользоваться именем «Мандзи». Вскоре после смены имени он выпустил книгу «Сто видов горы Фудзи», послесловие к которой процитировано в начале статьи. В этой иллюстрированной книге гора Фудзи не просто изображена с разных точек – в ней обыгрываются также легенды и литературные произведения, связанные со священной горой. Для картин характерны смелые композиционные решения, использующие контраст «близкого» и «далёкого», экстремальное увеличение мотива переднего плана с горой Фудзи на заднем плане. «Фудзи во время праздника Танабата» (Танабата-но фудзи) из первого тома иллюстрированной книги «Сто видов горы Фудзи» (Токийский национальный музей, источник: ColBase) Эти пейзажи стали источником вдохновения не только для художников укиё-э школы Утагава, но и для европейских художников – под их влиянием созданы, например, гравюры Анри Ривьера и работы по стеклу Эмиля Галле. Анри Ривьер, «Тридцать шесть видов Эйфелевой башни» (коллекция Музея искусств Хаги, префектура Ямагути, Мемориальный музей Ураками). Коллекция гравюр, запечатлевших Эйфелеву башню, которая строилась ко Всемирной выставке в Париже, с разных ракурсов и с разными композиционными решениями. Серия создана под влиянием «Тридцати шести видов горы Фудзи» Хокусая, а смелая композиция с крупным планом башни указывает на влияние «Ста видов горы Фудзи» Хокусай, который в послесловии к книге выражает намерение прожить 110 лет, скончался во 2 году Каэй (1849), в возрасте 90 лет (по японскому счёту возраста). Однако известно, что за три года до своей смерти, в возрасте 87 лет, он всё ещё был вполне здоров, и до самого конца сохранял творческий потенциал и художественные способности. Существует ряд шедевров, написанных кистью, которые были созданы в год его смерти. Хокусай часто называл себя «безумным художником», но, возможно, уместнее было бы назвать его «железным художником». Изображение к заголовку: создано на основе иллюстрации Кэйсая Эйсэна к книге Кимуры Мокуро (цифровая коллекция Национальной парламентской библиотеки)","nippon.com",2025-05-26T09:00:07
13,"Япония в 2025 году заняла 55-е место в рейтинге стран по индексу счастья, опустившись на четыре позиции по сравнению с предыдущим годом","Всемирный доклад о счастье публикуется Институтом благополучия Оксфордского университета с 2012 года. Уровень счастья определяется в виде показателя от 10 до 0, то есть от наилучших до наихудших условий жизни соответственно. При определении учитываются следующие критерии: ВВП на душу населения Социальная поддержка Продолжительность здоровой жизни Свобода жизненного выбора Терпимость Восприятие взяточничества и коррупции Оценка уровня счастья в Японии Критерии Оценка Место врейтинге ВВП на душу населения 1,678 28 Социальная поддержка 1,550 48 Продолжительность здоровой жизни 0,921 3 Свобода жизненного выбора 0,746 79 Терпимость 0,014 130 Восприятие взяточничества и коррупции 0,200 41 Источник: Всемирный доклад о счастье 2025 г. В отчете за 2025 год было исследовано 147 стран и регионов. Рейтинги определяются путем расчёта среднего показателя за три года с 2022 по 2024 год. Индекс счастья в Японии составил 6,147, при этом ожидаемая продолжительность здоровой жизни и ВВП на душу населения получили относительно хорошие оценки. Самый лучший результат Япония показала в 201 году, оказавшись на 43-м месте, наихудший отмечен в 2019 году, когда она заняла 51-е место. Помимо Финляндии, высокие места в рейтинге заняли и другие страны Северной Европы, такие как Дания, Исландия и Швеция. Среди крупнейших стран и регионов США занимают 24-е место, Великобритания – 23-е, Китай – 68-е, Тайвань – 27-е, Франция – 33-е, Испания – 38-е, Египет – 135-е, а Россия – 66-е. Отчёт, основанный на опросе американской исследовательской компании Gallup, также показал, что уровень счастья коррелирует с ожидаемой вероятностью возвращения потерянного кошелька. Респонденты из стран Северной Европы, занимающих высокие места в рейтингах счастья, возлагали большие надежды на возвращение утерянных кошельков. При составлении рейтинга по типу людей, от которых ожидают возвращения кошелька, Япония заняла 36-е место по показателю «от соседей», 26-е место по показателю «от незнакомцев» и 34-е место по показателю «от полиции». Фотография к заголовку: PIXTA Статьи по теме Жители Японии живут долго, но не слишком счастливы","nippon.com",2025-05-24T09:00:07
22,"Как песни из аниме покорили весь мир","Сегодня уже стало обычным делом видеть сразу несколько аниме-опенингов в десятке лучших песен японских музыкальных чартов. Например, айдол-группы «Ёасоби» (заставка к телевизионному аниме «Оси-но ко») и Specialz от King Gnu (опенинг к арке «Инцидент в Сибуе» второго сезона «Дзюдзюцу кайсэн») надолго захватили вершины чартов и вызвали бурю обсуждений в социальных сетях. Благодаря таким платформам, как Spotify и видеохостингам, всё больше международных слушателей открывают для себя японские песни в оригинале. А это означает, что аниме-песни одновременно становятся массовыми хитами внутри Японии и получают широкое признание во всём мире. 1960–1970-е: зарождение классических аниме-песен История японского телевизионного аниме, как принято считать, началась с выходом Astro Boy в 1963 году. Заглавная тема, слова к которой написал поэт Таникава Сюнтаро, включала легко запоминающиеся фразы, подчёркивающие характер и способности главного героя – робота. В те годы аниме часто называли «телевизионной мангой для детей», а его музыкальное сопровождение отличалось простотой: в песнях многократно повторялись имена персонажей и их фирменные приёмы, чтобы сделать их максимально доступными и понятными. Певец Мидзуки Итиро, впоследствии получивший титул «императора аниме-песен», вспоминал, что в музыкальной и телевизионной индустрии тех лет аниме-композиции считались второсортными – исполнителей таких песен не допускали на одну сцену с популярными фолк- и поп-артистами, а сама музыка воспринималась как развлечение исключительно для детей. Переломный момент наступил в 1974 году с выходом Space Battleship Yamato. Военный по духу опенинг, написанный известным автором песен Аку Ю, стал отступлением от шаблонных «героических гимнов» для детей. Это была драматическая композиция, нашедшая отклик и у взрослой аудитории. Уже к концу 1970-х годов аниме, такие как Ashita no Joe и Mobile Suit Gundam, начали предлагать более зрелые, серьезные сюжеты, и это отразилось в музыке: тексты песен стали более литературными, а музыка более эмоциональной и художественно выверенной. Стереотипное восприятие аниме как детского развлечения постепенно разрушалось, а выразительный потенциал аниме-песен рос. 1980–1990-е: слияние с J-pop В 1980-х годах аниме-песни сделали стремительный шаг в сторону поп-культуры. В аниме Cat’s Eye, основанном на манге Цукасы Ходзё, певица Анри исполнила заглавную тему в стиле сити-поп – и песня стала настоящим хитом. Её даже исполнили на престижной новогодней музыкальной программе Kōhaku Uta Gassen на телеканале NHK, что стало важным прецедентом, поскольку аниме-песни впервые были признаны частью мейнстримной поп-музыки. Похожая ситуация произошла с песней Get Wild группы TM Network, которая прозвучала в качестве эндинга к другому произведению Ходзё – City Hunter. Композиция в сочетании с видеорядом приобрела культовый статус и стала одной из самых знаковых песен в истории аниме. Аниме-песни стали модными, и всё больше популярных исполнителей начали записывать темы для аниме. В 1990-х границы между аниме-песнями и J-pop почти стерлись. Популярные исполнители, такие как Zard, Wands, Огуро Маки и B’z, создавали заглавные темы к Slam Dunk и Detective Conan, выпуская хит за хитом, каждый из которых расходился миллионными тиражами. В аниме Rurouni Kenshin звучали композиции таких звёзд J-pop, как Judy and Mary, T.M. Revolution, Siam Shade, The Yellow Monkey и L’Arc-en-Ciel. Это окончательно закрепило за аниме-песнями статус покорителей чартов и усилило их интеграцию в мейнстрим японской музыкальной индустрии. 2000-е: выход на мировой рынок После того как компакт-диски вытеснили винил в 1980-х, их продажи продолжали расти, но к 1998 году «CD-пузырь» лопнул: музыкальная индустрия достигла пика, за которым последовал резкий спад доходов. На фоне этого спада внимание шоу-бизнеса переключилось на рынок аниме, который поддерживался на плаву преданной фан-базой. Увлечённые поклонники активно покупали физические носители – CD и DVD, а произведения в жанре «аниме» начали пользоваться широкой популярностью за пределами Японии, что делало индустрию перспективной с коммерческой точки зрения. В результате музыкальные проекты, связанные с аниме, начали восприниматься как стабильный источник дохода. В 2000-х годах возросло влияние интернета, способствовавшее росту глобальной популярности аниме-песен. Например, группа альтернативного рока The Pillows обрела культовый статус за рубежом благодаря саундтреку к аниме-сериалу FLCL. В свою очередь, группы Asian Kung-Fu Generation и Flow, написавшие темы к Naruto, отправились в международные туры, продемонстрировав, насколько важную роль аниме играет в популяризации японских коллективов на мировой музыкальной сцене. С распространением стриминговых платформ, таких как Spotify и YouTube, в 2010-х аниме-опенинги и эндинги стали доступны ещё более широкой международной аудитории, окончательно закрепив место аниме-музыки на мировой арене. С 2010-х по настоящее время: восхождение топ-артистов На сегодняшний день аниме-песни занимают прочное лидирующее положение на японской музыкальной сцене. Аниме стало привлекательной платформой для музыкальных коллабораций, пользуясь большей популярностью, чем саундтреки к теледорамам или рекламные джинглы. Для исполнителей участие в аниме-проектах открыло путь к расширению аудитории и обретению новых фанатов по всему миру. На сегодняшний день саундтреки из аниме безусловно стали одним из важнейших каналов распространения музыки как в Японии, так и за её пределами. Старомодное предубеждение, будто аниме-песни – это чисто «коммерческая» музыка, практически прекратило своё существование. Совместные проекты ведущих артистов с известными режиссёрами аниме взрывают мировую сцену. Среди наиболее известных можно назвать работу Утады Хикару для серии фильмов Rebuild of Evangelion, сотрудничество Ёнэдзу Кэнси с Миядзаки Хаяо и саундтреки группы Radwimps к фильмам Синкая Макото. Сегодня музыканты тесно взаимодействуют с командами постановщиков, создавая композиции, которые глубоко резонируют с темами и повествованием самих аниме. В будущем ожидается ещё больший наплыв и разнообразие исполнителей, представляющих различные жанры и поколения, которые будут создавать музыку для аниме. Это, вероятно, приведёт к росту количества двуязычных текстов и международных продюсерских коллабораций, что еще больше подчеркнет всемирную привлекательность аниме-музыки. Один из ярких примеров – немецкий диджей и продюсер Zedd, который написал и опенинг Jaka Jaan, и эндинг Nakama для Dragon Ball Daima. Невероятным успехом увенчалось и выступление дуэта «Ёасоби» со своим мировым хитом Idol на американском фестивале наиболее актуальной музыки Coachella. Подобные выступления получают широчайшее распространение благодаря платформам вроде TikTok, позволяя аниме-музыке распространяться по миру с беспрецедентной скоростью. Использование глобальной популярности аниме стало одной из самых эффективных стратегий для японской музыки на пути к международным чартам. Таким образом, аниме-песни окончательно избавились от прежней репутации нишевой музыки для детей и превратились в мощную движущую силу J-pop, продолжая порождать хит за хитом. Углублённое сотрудничество между создателями аниме и музыкантами не только обогащает миры аниме- произведений, но и позволяет музыкальным композициям с невероятной скоростью достигать аудитории по всему миру. Для аниме это происходит гораздо быстрее, чем, например, для дорам или фильмов. Аниме транслируется по всему миру, включая стриминги, и его музыкальное сопровождение естественным образом распространяется вместе с ним. Слияние аниме-песен и J-pop продолжает расширять границы индустрии развлечений, завоёвывая сердца поклонников по всему миру и преодолевая культурные и языковые барьеры. Судя по всему, это влияние будет только расти. Фотография к заголовку: Выступление Yoasobi на Stagecoach Festival в Индио, Калифорния. 19 апреля 2024 года © Reuters Connect, материал предоставлен Daniel DeSlover/Sipa USA","nippon.com",2025-05-23T09:00:02
23,"Император и императрица Японии устроили ужин в честь голландского короля","Токио, 22 мая (Jiji Press). Японский император Нарухито и императрица Масако устроили ужин в честь голландского короля Виллема-Александра в императорском дворце в Токио. Император приветствовал короля около 7 часов вечера, с улыбкой пожал ему руку и вошёл с ним во дворец, беседуя. В 2006 году императорская чета провела в Нидерландах две недели на отдыхе вместе со своей дочерью, принцессой Айко. В 2013 году они присутствовали на церемонии коронации короля. Пара встречалась с королём на церемонии интронизации императора в 2019 году и на похоронах королевы Елизаветы II в 2022 году. [Авторское право The Jiji Press, Ltd.] Статьи по теме Послевоенная «чистка»: сокращение состава императорского дома Японии после поражения в войне Управление императорского двора рассматривает возможность распространения информации через соцсети Принц Хисахито поступил в школу средней ступени Мероприятия, связанные с днём рождения императора Нарухито, проводились в меньших масштабах из-за пандемии COVID-19 Принц Хисахито поступил в старшую школу Курода Саяко: частная жизнь сестры императора Почётному императору Акихито исполнилось 88 лет Императрице Масако исполнилось 58 лет, она глубоко тронута в связи с совершеннолетием дочери, принцессы Айко Императрица Митико: спутница жизни императора-символа Состоялась церемония совершеннолетия принцессы Айко Принцессе Айко исполнилось 20 лет, она стала совершеннолетней Тиары женщин императорского дома: принцесса Айко, чтобы избежать лишних трат во время кризиса коронавируса, для церемонии совершеннолетия позаимствует тиару бывшей принцессы Саяко Церемония совершеннолетия принцессы Айко, дочери императора и императрицы Японии, состоится 5 декабря Императрицы в Японии: восемь императриц по мужской линии Почётной императрице Митико исполнилось 86 лет Императрице Масако исполняется 57 лет Император и императорский дом Японский календарь: история гэнго, «девизов правления» Бывшая принцесса Мако и её муж прибыли в США В возрасте 81 года умер отец японской наследной принцессы Кико Имя Комуро Кэя не появилось в списке успешно сдавших экзамен в адвокатуру Нью-Йорка После скандала из-за долга матери жениха и посттравматического стрессового расстройства у японской принцессы Мако она наконец вышла замуж за Комуро, с которым познакомилась в университете Японской принцессе Мако исполнилось 30 лет Принцесса императорского дома Японии Мако посетила святилища императорского дворца, чтобы сообщить предкам и божествам о предстоящем браке Принцесса Мако в последний раз участвует в церемонии в качестве члена императорской семьи Официальное объявление о свадьбе принцессы Мако 1 октября должны сделать сообщение о предстоящей свадьбе принцессы Мако императорского дома Японии Наследный принц Акисино в интервью по случаю 55-летия сказал о планах замужества принцессы Мако: «Я одобряю брак»… Жених японской принцессы Мако сообщил о решении денежных проблем его матери Принцесса Мако планирует замужество Японской принцессе Мако исполняется 29 лет Проблема помолвки принцессы Мако ветви Акисино императорского дома Японии и её влияние на вопрос о создании женских ветвей дома [Видео] Принц Акисино собирается посетить Европу и не знает о планах замужества принцессы Мако Императорский дом Японии в статьях nippon.com Помолвка принцессы Мако и будущее императорского дома Современная японская принцесса: несколько слов о популярности принцессы Како","nippon.com",2025-05-23T11:19:34
